"","Overall"
"X360",12.2711258037952
"X361",11.434129322944
"X362",10.7995601088127
"X363",10.2654999420069
"X364",9.6756364211028
"X365",9.10695056850428
"X366",8.66300473415173
"X367",8.36238487549767
"X368",8.1074754825425
"X369",7.86351631264401
"X370",7.61766917433507
"X371",7.38906692836001
"X372",7.29424950291026
"X373",7.24381400820513
"X374",7.18762811362763
"X375",7.1254483818652
"X376",7.05844677481209
"X377",7.02018650663944
"X378",7.03026965065659
"X379",7.07927141805075
"X380",7.16300121078268
"X381",7.25284870704524
"X382",7.34724066242913
"X383",7.46547574698755
"X384",7.60023061776518
"X385",7.7463141233103
"X386",7.88400443737724
"X387",8.0168576618543
"X388",8.1497582246951
"X389",8.27852920509256
"X390",8.43466905688117
"X391",8.60723718901327
"X392",8.74202542192214
"X393",8.85484221789051
"X394",8.98026943640709
"X395",9.12189481010781
"X396",9.27781227754842
"X397",9.44300623889196
"X398",9.61312788309458
"X399",9.76723569432367
"X400",9.9167699536207
"X401",10.1064871798017
"X402",10.2888067604564
"X403",10.444276551562
"X404",10.5879320648378
"X405",10.7363620936138
"X406",10.8773023604517
"X407",11.0391211201532
"X408",11.2102140989849
"X409",11.3689733486759
"X410",11.5128201027954
"X411",11.663606646779
"X412",11.8354779419106
"X413",12.0219940758482
"X414",12.1985933484776
"X415",12.3672723740203
"X416",12.5201023431174
"X417",12.6812742730269
"X418",12.854281039053
"X419",13.0316318228479
"X420",13.204612418069
"X421",13.3693046358386
"X422",13.5343744403855
"X423",13.7050953059254
"X424",13.9024199177398
"X425",14.1080006179165
"X426",14.3137705042639
"X427",14.5181834150225
"X428",14.7278626713968
"X429",14.9570735662747
"X430",15.1958318781908
"X431",15.4260881277557
"X432",15.6576628070656
"X433",15.8822573036578
"X434",16.107572216738
"X435",16.3321665455965
"X436",16.5591900676303
"X437",16.7978936745884
"X438",17.0310008805161
"X439",17.2453698707308
"X440",17.4584229114024
"X441",17.6708586851866
"X442",17.8769022957241
"X443",18.0719532391498
"X444",18.2635239220024
"X445",18.4470014338132
"X446",18.6109865078528
"X447",18.7675373991179
"X448",18.9306430302482
"X449",19.085783694732
"X450",19.2209973774038
"X451",19.3511767847511
"X452",19.4788093309665
"X453",19.597064186413
"X454",19.6957579664362
"X455",19.787250579138
"X456",19.8728821557122
"X457",19.9506177502533
"X458",20.020052342978
"X459",20.0846386831042
"X460",20.1365229615656
"X461",20.1875017539935
"X462",20.2413197318261
"X463",20.3027998093721
"X464",20.3590771809678
"X465",20.4175025125627
"X466",20.4700997537707
"X467",20.5229734515842
"X468",20.5839904349288
"X469",20.6575392178836
"X470",20.7354699422499
"X471",20.8037361141572
"X472",20.8781822299608
"X473",20.9609928108587
"X474",21.0491694190222
"X475",21.1514364309811
"X476",21.2648022212488
"X477",21.3866893964825
"X478",21.5077040710869
"X479",21.6313164303348
"X480",21.7775657942725
"X481",21.9326375967455
"X482",22.0992633942734
"X483",22.2729942512395
"X484",22.4534050504425
"X485",22.6402042194753
"X486",22.8344488117102
"X487",23.0445783654971
"X488",23.2675160961106
"X489",23.492386907177
"X490",23.7250221459266
"X491",23.9624179074037
"X492",24.2030208456381
"X493",24.4514313619528
