"","Overall"
"RAWLb1",0.00182275052545886
"RAWLb2",0.00208082340756806
"RAWLb3",0.00254179164947402
"RAWLb4",0.00265560189191498
"RAWLb5",0.00529677192918374
"RAWLb6",0.00895545035059782
"RAWLb7",0.00820743140344855
"RAWSb1",0.00184558912143122
"RAWSb2",0.00214307773883464
"RAWSb3",0.00260446133832382
"RAWSb4",0.00265544130260757
"RAWSb5",0.00304245120803717
"RAWSb6",0.00343319068364325
"RAWSb7",0.00408491338273099
"RAWSb8",0.00500436201035983
"RAWSb9",0.00605509116413003
"RAWSb10",0.00835948255812293
"RAWSb11",0.00896353380167538
"RAWSb12",0.00803552885854248
"RAWWb1",0.00250890618822413
"RAWWb2",0.00234862803396874
"RAWWb3",0.00260839389498506
"RAWWb4",0.00325935788433755
"RAWWb5",0.00482586057049248
"RAWWb6",0.00605635230537481
"RAWWb7",0.00787668239642415
"RAWWb8",0.00881676989475684
"RAWWb9",0.0090766895217691
"RAWWb10",0.0090766895217691
"RAWWb11",0.00907695721645277
"RAWWb12",0.00843709748737067
"RAWWb13",0.00786388789313294
"RAWWb14",0.00802646482051861
"SMOLb1",0.00182219486386884
"SMOLb2",0.00208091872238672
"SMOLb3",0.00254098422245628
"SMOLb4",0.00265559335928708
"SMOLb5",0.00529658431767865
"SMOLb6",0.00895536825500526
"SMOLb7",0.00820720709038924
"SMOSb1",0.00184270590861498
"SMOSb2",0.00214089417628586
"SMOSb3",0.002602183053048
"SMOSb4",0.00265505266381759
"SMOSb5",0.00304267920977493
"SMOSb6",0.00343383920809133
"SMOSb7",0.00408541504165948
"SMOSb8",0.00500456111330615
"SMOSb9",0.00605429041101661
"SMOSb10",0.00835551712591718
"SMOSb11",0.00896305518491949
"SMOSb12",0.00803332101952584
"SMOWb1",0.00250814397410094
"SMOWb2",0.00234947188834715
"SMOWb3",0.00260859589197606
"SMOWb4",0.00325964340114796
"SMOWb5",0.00482570390007596
"SMOWb6",0.00605626209295512
"SMOWb7",0.00787670402303951
"SMOWb8",0.00881671109599983
"SMOWb9",0.00907650728028819
"SMOWb10",0.00907650728028819
"SMOWb11",0.0090769008369217
"SMOWb12",0.00843618059819908
"SMOWb13",0.00786623076427103
"SMOWb14",0.00802576891058725
"SGDLb1",6.7501543343769e-06
"SGDLb2",6.67743749312288e-06
"SGDLb3",5.29105889349764e-07
"SGDLb4",9.30272910151374e-06
"SGDLb5",1.17317189427893e-05
"SGDLb6",2.86662234776349e-06
"SGDLb7",3.66255226928022e-06
"SGDSb1",6.19584858851158e-06
"SGDSb2",7.05998930374338e-06
"SGDSb3",1.61735986651036e-06
"SGDSb4",9.20751588272006e-06
"SGDSb5",9.85853674013286e-06
"SGDSb6",1.26855754607404e-05
"SGDSb7",1.61724624313329e-05
"SGDSb8",1.35149166749839e-05
"SGDSb9",6.79573118652223e-06
"SGDSb10",1.39248906124945e-05
"SGDSb11",2.93111367241503e-06
"SGDSb12",1.9529992561283e-05
"SGDWb1",2.54465815377579e-06
"SGDWb2",3.49607702780948e-06
"SGDWb3",9.10118638571711e-06
"SGDWb4",1.12171875779673e-05
"SGDWb5",1.37676578509626e-05
"SGDWb6",8.08780040391163e-06
"SGDWb7",5.78676850571639e-06
"SGDWb8",3.75660276529473e-06
"SGDWb9",9.72841524800671e-07
"SGDWb10",9.72841524800671e-07
"SGDWb11",3.70460158894942e-07
"SGDWb12",1.37810747497454e-05
"SGDWb13",4.82804258751939e-06
"SGDWb14",4.51114566082923e-07
"RAWfe1a",0.00177952995555394
"RAWfe1s",0.0373747441309254
"RAWfe2a",0.00207227919047017
"RAWfe2s",0.0435224780474388
"RAWfe3a",0.00585629050900132
"RAWfe3s",0.122986715745608
"RAWfe4a",0.00156563441278212
"RAWfe4s",0.0328829376951543
"RAWfe5a",0.00184972313004361
"RAWfe5s",0.0388488007790738
"RAWfe6a",0.00177952995555394
"RAWfe6s",0.0373747441309254
"RAWfe7a",0.00245992399708008
"RAWfe7s",0.0516630189948007
"RAWfe8a",0.00251302734079292
"RAWfe8s",0.05277818921265
"RAWfe9a",0.00551218108051086
"RAWfe9s",0.115760417713223
"RAWorg1a",0.00906497087006662
"RAWorg1s",0.190369003325448
"RAWorg2a",0.0071864777169675
"RAWorg2s",0.15092064708623
"RAWorg3a",0.00475751437929928
"RAWorg3s",0.0999124169659357
"RAWorg4a",0.00841366083506218
"RAWorg4s",0.176691492592351
"RAWorg5a",0.00842247615160418
"RAWorg5s",0.176876614212258
