;corr;pvalue
soc;0.009955093;0.61195632
clay;1;0
RAWLb1;-0.515691518;1.37E-176
RAWLb2;-0.508903822;2.88E-171
RAWLb3;-0.405685976;1.51E-103
RAWLb4;-0.203814543;9.02E-26
RAWLb5;-0.384319006;3.04E-92
RAWLb6;-0.473586699;1.98E-145
RAWLb7;-0.480341955;3.86E-150
RAWSb1;-0.514461851;1.29E-175
RAWSb2;-0.509058095;2.19E-171
RAWSb3;-0.42085391;4.32E-112
RAWSb4;-0.203846725;8.86E-26
RAWSb5;-0.214786644;1.68E-28
RAWSb6;-0.233822853;1.31E-33
RAWSb7;-0.285578195;5.78E-50
RAWSb8;-0.363609566;4.60E-82
RAWSb9;-0.414810098;1.24E-108
RAWSb10;-0.470559089;2.37E-143
RAWSb11;-0.473649876;1.79E-145
RAWSb12;-0.496347554;9.89E-162
RAWWb1;-0.443456426;1.16E-125
RAWWb2;-0.239019288;4.36E-35
RAWWb3;-0.202525813;1.85E-25
RAWWb4;-0.224864505;3.79E-31
RAWWb5;-0.348781786;3.19E-75
RAWWb6;-0.411366191;1.07E-106
RAWWb7;-0.446229979;2.12E-127
RAWWb8;-0.472435926;1.23E-144
RAWWb9;-0.474305487;6.33E-146
RAWWb10;-0.474305487;6.33E-146
RAWWb11;-0.47258964;9.63E-145
RAWWb12;-0.486664783;1.21E-154
RAWWb13;-0.496673877;5.65E-162
RAWWb14;-0.472773019;7.21E-145
SMOLb1;-0.515716999;1.31E-176
SMOLb2;-0.508894424;2.93E-171
SMOLb3;-0.405472726;1.97E-103
SMOLb4;-0.203818707;9.00E-26
SMOLb5;-0.384285072;3.16E-92
SMOLb6;-0.473589678;1.97E-145
SMOLb7;-0.480341423;3.87E-150
SMOSb1;-0.514283036;1.78E-175
SMOSb2;-0.50911695;1.97E-171
SMOSb3;-0.420316578;8.83E-112
SMOSb4;-0.20372273;9.49E-26
SMOSb5;-0.214886177;1.58E-28
SMOSb6;-0.233995364;1.17E-33
SMOSb7;-0.285543848;5.94E-50
SMOSb8;-0.363602783;4.64E-82
SMOSb9;-0.414638724;1.55E-108
SMOSb10;-0.470703765;1.89E-143
SMOSb11;-0.473660736;1.76E-145
SMOSb12;-0.496434234;8.52E-162
SMOWb1;-0.443237679;1.58E-125
SMOWb2;-0.23926933;3.69E-35
SMOWb3;-0.202555003;1.82E-25
SMOWb4;-0.224921601;3.66E-31
SMOWb5;-0.34877189;3.23E-75
SMOWb6;-0.41136212;1.08E-106
SMOWb7;-0.446236138;2.10E-127
SMOWb8;-0.472438556;1.22E-144
SMOWb9;-0.474306016;6.32E-146
SMOWb10;-0.474306016;6.32E-146
SMOWb11;-0.472599071;9.49E-145
SMOWb12;-0.486614497;1.31E-154
SMOWb13;-0.496621256;6.19E-162
SMOWb14;-0.472786672;7.05E-145
SGDLb1;-0.399454234;3.65E-100
SGDLb2;-0.420418322;7.71E-112
SGDLb3;0.205433738;3.65E-26
SGDLb4;-0.273529952;7.97E-46
SGDLb5;-0.618939846;1.02E-274
SGDLb6;-0.474795253;2.90E-146
SGDLb7;0.356503561;9.71E-79
SGDSb1;-0.381993504;4.60E-91
SGDSb2;-0.355407544;3.11E-78
SGDSb3;0.227342436;8.09E-32
SGDSb4;-0.267627252;7.15E-44
SGDSb5;-0.315568936;3.46E-61
SGDSb6;-0.527800167;2.16E-186
SGDSb7;-0.63650564;2.94E-295
SGDSb8;-0.630227842;9.16E-288
SGDSb9;-0.352724874;5.25E-77
SGDSb10;0.104092324;1.05E-07
SGDSb11;-0.441101325;3.36E-124
SGDSb12;0.315757479;2.91E-61
SGDWb1;0.077965096;6.93E-05
SGDWb2;0.264574437;7.00E-43
SGDWb3;-0.261487179;6.83E-42
SGDWb4;-0.433909036;8.37E-120
SGDWb5;-0.642173611;3.56E-302
SGDWb6;-0.457558986;1.15E-134
SGDWb7;-0.613329022;1.99E-268
SGDWb8;-0.475589186;8.17E-147
SGDWb9;-0.233290572;1.84E-33
SGDWb10;-0.233290572;1.84E-33
SGDWb11;-0.016533201;0.399496315
SGDWb12;0.138769;1.20E-12
SGDWb13;0.442338961;5.74E-125
SGDWb14;0.152419395;5.61E-15
RAWfe1a;-0.518285036;1.17E-178
RAWfe1s;-0.518285571;1.17E-178
RAWfe2a;-0.511799453;1.60E-173
RAWfe2s;-0.511796009;1.61E-173
RAWfe3a;-0.410827988;2.15E-106
RAWfe3s;-0.410830077;2.14E-106
RAWfe4a;-0.518646238;6.04E-179
RAWfe4s;-0.518648165;6.01E-179
RAWfe5a;-0.514028385;2.83E-175
RAWfe5s;-0.514026164;2.84E-175
RAWfe6a;-0.518285036;1.17E-178
RAWfe6s;-0.518285571;1.17E-178
RAWfe7a;-0.484577937;3.79E-153
RAWfe7s;-0.484577279;3.80E-153
RAWfe8a;-0.199680882;8.80E-25
RAWfe8s;-0.199682248;8.79E-25
RAWfe9a;-0.397116865;6.49E-99
RAWfe9s;-0.397116117;6.50E-99
RAWorg1a;-0.474477504;4.81E-146
RAWorg1s;-0.474477767;4.81E-146
RAWorg2a;-0.430856415;5.71E-118
RAWorg2s;-0.43085641;5.71E-118
RAWorg3a;-0.343504605;7.10E-73
RAWorg3s;-0.343504964;7.10E-73
RAWorg4a;-0.466247377;1.98E-140
RAWorg4s;-0.466248574;1.98E-140
RAWorg5a;-0.470264329;3.76E-143
RAWorg5s;-0.470264517;3.76E-143
RAWorg6a;-0.416830491;8.81E-110
RAWorg6s;-0.416830681;8.80E-110
RAWorg7a;-0.245133698;7.16E-37
RAWorg7s;-0.245132978;7.16E-37
RAWorg8a;-0.47282683;6.62E-145
RAWorg8s;-0.472826159;6.62E-145
RAWorg9a;-0.473123827;4.13E-145
RAWorg9s;-0.473123116;4.14E-145
RAWorg10a;-0.436463651;2.36E-121
RAWorg10s;-0.436463665;2.36E-121
RAWorg11a;-0.440615804;6.71E-124
RAWorg11s;-0.440615275;6.71E-124
RAWorg12a;-0.374468165;2.62E-87
RAWorg12s;-0.374467426;2.62E-87
RAWorg13a;-0.393115538;8.51E-97
RAWorg13s;-0.393115891;8.50E-97
RAWorg14a;-0.459271371;8.64E-136
RAWorg14s;-0.459271783;8.63E-136
RAWorg15a;-0.469173241;2.08E-142
RAWorg15s;-0.469174367;2.08E-142
RAWorg16a;-0.468894735;3.22E-142
RAWorg16s;-0.468894449;3.22E-142
RAWorg17a;-0.471133863;9.59E-144
RAWorg17s;-0.471134583;9.58E-144
RAWorg18a;-0.4708579;1.48E-143
RAWorg18s;-0.470858241;1.48E-143
RAWorg19a;-0.47282683;6.62E-145
RAWorg19s;-0.472826159;6.62E-145
RAWorg20a;-0.47323462;3.47E-145
RAWorg20s;-0.473233949;3.47E-145
RAWorg21a;-0.472460792;1.18E-144
RAWorg21s;-0.472460792;1.18E-144
RAWorg22a;-0.464860688;1.69E-139
RAWorg22s;-0.46486133;1.69E-139
