"","V1","V2"
"id",0.0745389800408368,0.000142671772611386
"soc",0.009955092803291,0.611956320027091
"clay",1,0
"RAWLb1",-0.515689454770373,1.37281970326567e-176
"RAWLb2",-0.50890382225717,2.87974497895558e-171
"RAWLb3",-0.40568596634236,1.50783786969385e-103
"RAWLb4",-0.203814543355436,9.02125174761817e-26
"RAWLb5",-0.38431887496332,3.03876942674781e-92
"RAWLb6",-0.473587123390863,1.98221781552645e-145
"RAWLb7",-0.480341954594281,3.86412347002559e-150
"RAWSb1",-0.514461851348311,1.28625929441453e-175
"RAWSb2",-0.509058095348781,2.1862298439234e-171
"RAWSb3",-0.42085391037157,4.32089223381562e-112
"RAWSb4",-0.203846725409626,8.86095060562366e-26
"RAWSb5",-0.214786644024976,1.67504694800941e-28
"RAWSb6",-0.233822853359439,1.30666637776507e-33
"RAWSb7",-0.285578195047875,5.77635816831965e-50
"RAWSb8",-0.363609566294453,4.60365834619798e-82
"RAWSb9",-0.414810098311359,1.2373326331182e-108
"RAWSb10",-0.470559088669708,2.36855051419722e-143
"RAWSb11",-0.473649876193381,1.7942346649822e-145
"RAWSb12",-0.496347553621563,9.88723867752235e-162
"RAWWb1",-0.443456924249225,1.15657167661738e-125
"RAWWb2",-0.239020197947789,4.3531718749695e-35
"RAWWb3",-0.202525813010364,1.84500392035795e-25
"RAWWb4",-0.224864505246592,3.79171924976587e-31
"RAWWb5",-0.348781786487876,3.19233576447954e-75
"RAWWb6",-0.411365842665902,1.07391777074704e-106
"RAWWb7",-0.446229979425618,2.11799341076618e-127
"RAWWb8",-0.47243641277365,1.22755834445918e-144
"RAWWb9",-0.474305486979467,6.3277987662028e-146
"RAWWb10",-0.474305486979467,6.3277987662028e-146
"RAWWb11",-0.472589640322583,9.63317668622118e-145
"RAWWb12",-0.486664782924931,1.20592967105394e-154
"RAWWb13",-0.496674013118195,5.65145782344443e-162
"RAWWb14",-0.472773719140377,7.19830204483772e-145
"SMOLb1",-0.515716755935564,1.30604411527561e-176
"SMOLb2",-0.508894423656114,2.92847715497225e-171
"SMOLb3",-0.405473340244359,1.97239475663926e-103
"SMOLb4",-0.203818706643623,9.00035343001945e-26
"SMOLb5",-0.384285062293973,3.16177572945792e-92
"SMOLb6",-0.473590152290695,1.97270869775935e-145
"SMOLb7",-0.480341423375299,3.86745780807978e-150
"SMOSb1",-0.514277287223923,1.79919027475507e-175
"SMOSb2",-0.509128830209486,1.92668825964952e-171
"SMOSb3",-0.420311181944831,8.8900964730243e-112
"SMOSb4",-0.203727840555695,9.46756096004897e-26
"SMOSb5",-0.214880658479397,1.58473904777113e-28
"SMOSb6",-0.233993650793689,1.16999696078093e-33
"SMOSb7",-0.28554643407295,5.92706403621967e-50
"SMOSb8",-0.363603345032715,4.63500814752247e-82
"SMOSb9",-0.41464162851836,1.5411105673054e-108
"SMOSb10",-0.470702735334418,1.88976726494774e-143
"SMOSb11",-0.473654691112719,1.78056843653093e-145
"SMOSb12",-0.496434566213025,8.51835603176139e-162
"SMOWb1",-0.443237756133603,1.58412335904967e-125
"SMOWb2",-0.239268810097342,3.69178523574802e-35
"SMOWb3",-0.202555003088248,1.81544236388801e-25
"SMOWb4",-0.224921601363619,3.65993774520554e-31
"SMOWb5",-0.348771890092933,3.22517232162338e-75
"SMOWb6",-0.41136212013366,1.07908051022733e-106
"SMOWb7",-0.446237077266702,2.09631848176391e-127
"SMOWb8",-0.47243890835433,1.22272283350699e-144
"SMOWb9",-0.474306016262616,6.32247104883487e-146
"SMOWb10",-0.474306016262616,6.32247104883487e-146
"SMOWb11",-0.472599070712128,9.49049293237239e-145
"SMOWb12",-0.486614497117291,1.31078391036666e-154
"SMOWb13",-0.496621256106829,6.18634602300608e-162
"SMOWb14",-0.472786672074285,7.05217437908873e-145
"SGDLb1",-0.399434758617687,3.73487374355352e-100
"SGDLb2",-0.420412868574007,7.76682772089113e-112
"SGDLb3",0.205428920107821,3.65632470315053e-26
"SGDLb4",-0.273514738077019,8.05956264481679e-46
"SGDLb5",-0.618932505541709,1.04050975882047e-274
"SGDLb6",-0.474748427661056,3.12530357559246e-146
"SGDLb7",0.356494412519287,9.80493265652443e-79
"SGDSb1",-0.381852084185096,5.42775271235339e-91
"SGDSb2",-0.355253176002699,3.65931054572212e-78
"SGDSb3",0.227362766477351,7.99203654643783e-32
"SGDSb4",-0.267583959238408,7.38612486838194e-44
"SGDSb5",-0.315485001992967,3.73259865599475e-61
"SGDSb6",-0.527684148719162,2.69388267430429e-186
"SGDSb7",-0.636650225885225,1.96831911892791e-295
"SGDSb8",-0.630132368457768,1.18721619476461e-287
"SGDSb9",-0.352572070005579,6.16761487945396e-77
"SGDSb10",0.104211373983568,1.01128897031323e-07
"SGDSb11",-0.44096393567429,4.08553343981024e-124
"SGDSb12",0.31581382757879,2.7640311953169e-61
"SGDWb1",0.0779619199353934,6.93008104423322e-05
"SGDWb2",0.264575282686149,6.99810862662117e-43
"SGDWb3",-0.261483140452162,6.84750440041398e-42
"SGDWb4",-0.433903334540941,8.43429803478125e-120
"SGDWb5",-0.642180169367571,3.49874061223048e-302
"SGDWb6",-0.457550862114816,1.1592698787626e-134
"SGDWb7",-0.613292400528552,2.18075850813544e-268
"SGDWb8",-0.475406123267903,1.09436722765775e-146
"SGDWb9",-0.233145070587458,2.02388220584356e-33
"SGDWb10",-0.233145070587458,2.02388220584356e-33
"SGDWb11",-0.0165206179152188,0.39985523526664
"SGDWb12",0.138766790954715,1.19989648780472e-12
"SGDWb13",0.442346692103982,5.67797670388468e-125
"SGDWb14",0.152366947507954,5.73569582477068e-15
"RAWfe1a",-0.518286446995895,1.17160074154549e-178
"RAWfe1s",-0.518286446995895,1.17160074154549e-178
"RAWfe2a",-0.511798649075805,1.59868489716582e-173
"RAWfe2s",-0.511798649075805,1.59868489716582e-173
"RAWfe3a",-0.410829644773124,2.14146282719739e-106
"RAWfe3s",-0.410829644773124,2.14146282719739e-106
"RAWfe4a",-0.518646993584756,6.02749835664641e-179
"RAWfe4s",-0.518646993584756,6.02749835664641e-179
"RAWfe5a",-0.514026348492746,2.83855376049934e-175
"RAWfe5s",-0.514026348492746,2.83855376049934e-175
"RAWfe6a",-0.518286446995895,1.17160074154549e-178
"RAWfe6s",-0.518286446995895,1.17160074154549e-178
"RAWfe7a",-0.484576752228623,3.799820354232e-153
"RAWfe7s",-0.484576752228623,3.799820354232e-153
"RAWfe8a",-0.199681688660449,8.79660547285678e-25
"RAWfe8s",-0.199681688660449,8.79660547285678e-25
"RAWfe9a",-0.397116774099486,6.49137953273391e-99
"RAWfe9s",-0.397116774099486,6.49137953273391e-99
"RAWorg1a",-0.4744777665733,4.81004222642857e-146
"RAWorg1s",-0.4744777665733,4.81004222642857e-146
"RAWorg2a",-0.430856524916726,5.70922661117689e-118
"RAWorg2s",-0.430856524916726,5.70922661117689e-118
"RAWorg3a",-0.343504917781992,7.09973128356607e-73
"RAWorg3s",-0.343504917781992,7.09973128356607e-73
"RAWorg4a",-0.466247819365958,1.97824207737608e-140
"RAWorg4s",-0.466247819365958,1.97824207737608e-140
"RAWorg5a",-0.470264329459221,3.76341342669592e-143
"RAWorg5s",-0.470264329459221,3.76341342669592e-143
"RAWorg6a",-0.416830792124604,8.80208266338144e-110
