;corr;pvalue
soc;1;0
clay;0.009955093;0.61195632
RAWLb1;-0.220654013;5.01E-30
RAWLb2;-0.229613323;1.93E-32
RAWLb3;-0.348179507;5.95E-75
RAWLb4;-0.528716374;3.77E-187
RAWLb5;-0.351777528;1.42E-76
RAWLb6;-0.198449934;1.72E-24
RAWLb7;-0.175768913;1.77E-19
RAWSb1;-0.221804176;2.49E-30
RAWSb2;-0.231440148;6.05E-33
RAWSb3;-0.328854414;1.36E-66
RAWSb4;-0.528916897;2.57E-187
RAWSb5;-0.519760792;7.70E-180
RAWSb6;-0.501370479;1.69E-165
RAWSb7;-0.455763158;1.70E-133
RAWSb8;-0.376194934;3.67E-88
RAWSb9;-0.309531282;8.05E-59
RAWSb10;-0.209768632;3.11E-27
RAWSb11;-0.198415085;1.75E-24
RAWSb12;-0.157095198;7.95E-16
RAWWb1;-0.304722689;5.65E-57
RAWWb2;-0.502329726;3.17E-166
RAWWb3;-0.529273245;1.30E-187
RAWWb4;-0.510255669;2.56E-172
RAWWb5;-0.392683371;1.43E-96
RAWWb6;-0.312293308;6.76E-60
RAWWb7;-0.245830617;4.45E-37
RAWWb8;-0.200837447;4.68E-25
RAWWb9;-0.196291968;5.49E-24
RAWWb10;-0.196291968;5.49E-24
RAWWb11;-0.195048272;1.07E-23
RAWWb12;-0.169846939;2.83E-18
RAWWb13;-0.154032823;2.88E-15
RAWWb14;-0.183754802;3.59E-21
SMOLb1;-0.220691026;4.90E-30
SMOLb2;-0.229615329;1.93E-32
SMOLb3;-0.348451656;4.49E-75
SMOLb4;-0.528695459;3.93E-187
SMOLb5;-0.351819333;1.36E-76
SMOLb6;-0.198446807;1.72E-24
SMOLb7;-0.175770707;1.77E-19
SMOSb1;-0.22117768;3.65E-30
SMOSb2;-0.230456739;1.13E-32
SMOSb3;-0.329406659;7.99E-67
SMOSb4;-0.528883875;2.74E-187
SMOSb5;-0.519727513;8.19E-180
SMOSb6;-0.501325351;1.83E-165
SMOSb7;-0.45569617;1.87E-133
SMOSb8;-0.37622975;3.53E-88
SMOSb9;-0.309575866;7.74E-59
SMOSb10;-0.209650652;3.32E-27
SMOSb11;-0.198394853;1.77E-24
SMOSb12;-0.156983303;8.34E-16
SMOWb1;-0.305056278;4.22E-57
SMOWb2;-0.502162737;4.25E-166
SMOWb3;-0.529249447;1.36E-187
SMOWb4;-0.510204668;2.81E-172
SMOWb5;-0.392698882;1.41E-96
SMOWb6;-0.31230371;6.70E-60
SMOWb7;-0.245832309;4.44E-37
SMOWb8;-0.20084371;4.66E-25
SMOWb9;-0.196294022;5.48E-24
SMOWb10;-0.196294022;5.48E-24
SMOWb11;-0.195041262;1.07E-23
SMOWb12;-0.169884065;2.78E-18
SMOWb13;-0.154132733;2.76E-15
SMOWb14;-0.18372724;3.64E-21
SGDLb1;-0.247815599;1.14E-37
SGDLb2;-0.275863934;1.30E-46
SGDLb3;-0.560911853;2.52E-215
SGDLb4;-0.38014115;3.95E-90
SGDLb5;0.201210547;3.81E-25
SGDLb6;-0.067956599;0.000526703
SGDLb7;0.23816589;7.66E-35
SGDSb1;-0.239134526;4.04E-35
SGDSb2;-0.260266399;1.67E-41
SGDSb3;-0.543353738;1.40E-199
SGDSb4;-0.381120788;1.27E-90
SGDSb5;-0.320342541;4.24E-63
SGDSb6;-0.086936925;9.07E-06
SGDSb7;0.184061936;3.08E-21
SGDSb8;0.251230013;1.06E-38
SGDSb9;-0.133087523;9.63E-12
SGDSb10;0.456312107;7.45E-134
SGDSb11;-0.021323103;0.277186792
SGDSb12;0.331979009;6.64E-68
SGDWb1;-0.544411548;1.67E-200
SGDWb2;-0.526629355;1.99E-185
SGDWb3;-0.390577889;1.81E-95
SGDWb4;-0.197560721;2.78E-24
SGDWb5;0.226784202;1.15E-31
SGDWb6;-0.074202971;0.000152909
SGDWb7;0.095522158;1.07E-06
SGDWb8;-0.077195734;8.17E-05
SGDWb9;-0.059081546;0.002585226
SGDWb10;-0.059081546;0.002585226
SGDWb11;0.17935392;3.14E-20
SGDWb12;0.379481544;8.46E-90
SGDWb13;-0.15539076;1.63E-15
SGDWb14;-0.359707753;3.15E-80
RAWfe1a;-0.219269155;1.16E-29
RAWfe1s;-0.21927049;1.16E-29
RAWfe2a;-0.228386202;4.20E-32
RAWfe2s;-0.228387697;4.20E-32
RAWfe3a;-0.316798413;1.12E-61
RAWfe3s;-0.316797624;1.12E-61
RAWfe4a;-0.226277775;1.58E-31
RAWfe4s;-0.226268716;1.58E-31
RAWfe5a;-0.221879539;2.38E-30
RAWfe5s;-0.221879603;2.38E-30
RAWfe6a;-0.219269155;1.16E-29
RAWfe6s;-0.21927049;1.16E-29
RAWfe7a;-0.250025739;2.46E-38
RAWfe7s;-0.250027259;2.46E-38
RAWfe8a;-0.530858876;6.24E-189
RAWfe8s;-0.530860242;6.22E-189
RAWfe9a;-0.335819992;1.55E-69
RAWfe9s;-0.335820668;1.54E-69
RAWorg1a;-0.196493507;4.93E-24
RAWorg1s;-0.196492489;4.93E-24
RAWorg2a;-0.271992014;2.60E-45
RAWorg2s;-0.271992947;2.60E-45
RAWorg3a;-0.398221471;1.67E-99
RAWorg3s;-0.398219713;1.67E-99
RAWorg4a;-0.194118974;1.74E-23
RAWorg4s;-0.194119634;1.74E-23
RAWorg5a;-0.205228078;4.09E-26
RAWorg5s;-0.205227869;4.09E-26
RAWorg6a;-0.29905257;7.66E-55
RAWorg6s;-0.299052154;7.66E-55
RAWorg7a;-0.491768089;2.37E-158
RAWorg7s;-0.491768726;2.37E-158
RAWorg8a;-0.195327078;9.19E-24
RAWorg8s;-0.195327291;9.18E-24
RAWorg9a;-0.193873456;1.99E-23
RAWorg9s;-0.193873957;1.99E-23
RAWorg10a;-0.262707521;2.79E-42
RAWorg10s;-0.262706624;2.79E-42
RAWorg11a;-0.255121411;6.79E-40
RAWorg11s;-0.255121224;6.79E-40
RAWorg12a;-0.363584568;4.73E-82
RAWorg12s;-0.363584386;4.73E-82
RAWorg13a;-0.340980141;9.08E-72
RAWorg13s;-0.340980049;9.09E-72
RAWorg14a;-0.193462093;2.47E-23
RAWorg14s;-0.193461783;2.47E-23
RAWorg15a;-0.207989294;8.59E-27
RAWorg15s;-0.207989485;8.59E-27
RAWorg16a;-0.19180171;5.89E-23
RAWorg16s;-0.191799622;5.90E-23
RAWorg17a;-0.203749383;9.35E-26
RAWorg17s;-0.20374892;9.36E-26
RAWorg18a;-0.185802555;1.28E-21
RAWorg18s;-0.185801493;1.29E-21
RAWorg19a;-0.195327078;9.19E-24
RAWorg19s;-0.195327291;9.18E-24
RAWorg20a;-0.178899404;3.92E-20
RAWorg20s;-0.178900075;3.92E-20
RAWorg21a;-0.195202158;9.82E-24
RAWorg21s;-0.195202158;9.82E-24
RAWorg22a;-0.193425929;2.51E-23
RAWorg22s;-0.19342537;2.52E-23
RAWorg23a;-0.188547715;3.18E-22
RAWorg23s;-0.188549436;3.17E-22
RAWorg24a;-0.157752706;6.01E-16
RAWorg24s;-0.157752484;6.01E-16
RAWclay1a;-0.200365059;6.06E-25
RAWclay1s;-0.200364991;6.06E-25
RAWclay2a;-0.197146542;3.47E-24
RAWclay2s;-0.197146175;3.47E-24
RAWclay3a;-0.17213476;9.80E-19
RAWclay3s;-0.172134995;9.80E-19
RAWclay4a;-0.194118974;1.74E-23
RAWclay4s;-0.194119634;1.74E-23
RAWclay5a;-0.14716974;4.69E-14
RAWclay5s;-0.147168337;4.69E-14
RAWclay6a;-0.146302809;6.61E-14
RAWclay6s;-0.146302639;6.61E-14
RAWclay7a;-0.174709665;2.92E-19
RAWclay7s;-0.174709665;2.92E-19
RAWclay8a;-0.170623238;1.98E-18
RAWclay8s;-0.170623604;1.98E-18
RAWclay9a;-0.153290347;3.92E-15
RAWclay9s;-0.153289142;3.92E-15
RAWclay10a;-0.171562932;1.28E-18
RAWclay10s;-0.171562293;1.28E-18
