"","V1","V2"
"id",0.456946953147665,2.87428046142162e-134
"soc",1,0
"clay",0.009955092803291,0.611956320027091
"RAWLb1",-0.220654613521664,5.01019689877707e-30
"RAWLb2",-0.229613322565158,1.9342736697588e-32
"RAWLb3",-0.348179522604356,5.94684768049845e-75
"RAWLb4",-0.528716373926525,3.77263740854918e-187
"RAWLb5",-0.351778059255489,1.41621898644424e-76
"RAWLb6",-0.198449200094816,1.71825884793489e-24
"RAWLb7",-0.175768913391384,1.76735777282472e-19
"RAWSb1",-0.221804176435506,2.48906693494318e-30
"RAWSb2",-0.231440147778176,6.04625656506234e-33
"RAWSb3",-0.328854413547323,1.35904656963393e-66
"RAWSb4",-0.528916896526551,2.57308180520734e-187
"RAWSb5",-0.51976079216695,7.69598634493967e-180
"RAWSb6",-0.501370479046738,1.69131873689799e-165
"RAWSb7",-0.455763157657934,1.69523925927097e-133
"RAWSb8",-0.376194933750775,3.67414464758109e-88
"RAWSb9",-0.309531282135321,8.05109724810342e-59
"RAWSb10",-0.209768632432734,3.10626809972582e-27
"RAWSb11",-0.19841508501205,1.75028961501468e-24
"RAWSb12",-0.1570951977177,7.94900838869956e-16
"RAWWb1",-0.304722351950689,5.64816685347502e-57
"RAWWb2",-0.502328686579764,3.18022430969669e-166
"RAWWb3",-0.529273245372957,1.30268269658746e-187
"RAWWb4",-0.510255668644393,2.56289766540776e-172
"RAWWb5",-0.392683371414266,1.43429356331303e-96
"RAWWb6",-0.312293574930529,6.75655045600712e-60
"RAWWb7",-0.245830617420834,4.44979805367557e-37
"RAWWb8",-0.200838018605982,4.67483618512598e-25
"RAWWb9",-0.196291968126431,5.48815456026269e-24
"RAWWb10",-0.196291968126431,5.48815456026269e-24
"RAWWb11",-0.195048271687776,1.0654449536084e-23
"RAWWb12",-0.169846938862165,2.82879434294419e-18
"RAWWb13",-0.154032777323239,2.87907654275195e-15
"RAWWb14",-0.183754415534682,3.59201352524525e-21
"SMOLb1",-0.220690207275224,4.9031306897712e-30
"SMOLb2",-0.229615328728872,1.93181582639978e-32
"SMOLb3",-0.348451071224846,4.49306104458344e-75
"SMOLb4",-0.528695459016953,3.92620285716844e-187
"SMOLb5",-0.351818732469659,1.35725909056925e-76
"SMOLb6",-0.198446588272744,1.72069044399851e-24
"SMOLb7",-0.175770706772679,1.76584786946299e-19
"SMOSb1",-0.221175669603799,3.65054369655678e-30
"SMOSb2",-0.230449672064316,1.1372398263616e-32
"SMOSb3",-0.329417856099296,7.90538961597302e-67
"SMOSb4",-0.528881675483044,2.75202640347846e-187
"SMOSb5",-0.519726609826817,8.19873139801097e-180
"SMOSb6",-0.501326214214026,1.82682410568334e-165
"SMOSb7",-0.45569392622424,1.88022362768454e-133
"SMOSb8",-0.376230144785288,3.52948985678831e-88
"SMOSb9",-0.30956953605695,7.78091807718723e-59
"SMOSb10",-0.209651193683453,3.32301974139847e-27
"SMOSb11",-0.198396037515727,1.76842982533591e-24
"SMOSb12",-0.156980814745655,8.34433132725432e-16
"SMOWb1",-0.305055867430115,4.21692353797473e-57
"SMOWb2",-0.502162432829987,4.25155748076559e-166
"SMOWb3",-0.529249447368982,1.36330076079657e-187
"SMOWb4",-0.510204668378806,2.808364349811e-172
"SMOWb5",-0.392698882358529,1.40766282077468e-96
"SMOWb6",-0.312303710447837,6.6950710410597e-60
"SMOWb7",-0.245831898143168,4.44590449477469e-37
"SMOWb8",-0.200843338016781,4.66121891752077e-25
"SMOWb9",-0.196294021849503,5.48212556245196e-24
"SMOWb10",-0.196294021849503,5.48212556245196e-24
"SMOWb11",-0.195041262240413,1.0694223770009e-23
"SMOWb12",-0.169884065253588,2.78089532785082e-18
"SMOWb13",-0.15413273282977,2.76176574560932e-15
"SMOWb14",-0.18372724035263,3.64107152545721e-21
"SGDLb1",-0.247827710266711,1.12935256687824e-37
"SGDLb2",-0.275874852318983,1.29339776278142e-46
"SGDLb3",-0.560910989221549,2.52015386050615e-215
"SGDLb4",-0.380142451763144,3.94420786937389e-90
"SGDLb5",0.201217782204841,3.79516081445491e-25
"SGDLb6",-0.0678834648451762,0.000534077882499647
"SGDLb7",0.238184425641836,7.56484547301625e-35
"SGDSb1",-0.239223587486396,3.80417995766596e-35
"SGDSb2",-0.260356843278167,1.55972712539274e-41
"SGDSb3",-0.54331214089554,1.52165252395785e-199
"SGDSb4",-0.381235527914,1.11133636069248e-90
"SGDSb5",-0.320479529911466,3.73676060770412e-63
"SGDSb6",-0.0868920979524428,9.1622873370939e-06
"SGDSb7",0.183953693072148,3.25168990147639e-21
"SGDSb8",0.251238736827715,1.05491830742384e-38
"SGDSb9",-0.132824599604274,1.05836146607155e-11
"SGDSb10",0.456196324587097,8.86285628416713e-134
"SGDSb11",-0.0213463853172154,0.276662459872655
"SGDSb12",0.332013847149595,6.41671184453341e-68
"SGDWb1",-0.544410120842017,1.67901268659324e-200
"SGDWb2",-0.526629398027268,1.99386730162138e-185
"SGDWb3",-0.390575391316623,1.81445779159132e-95
"SGDWb4",-0.197557407946717,2.78157030675748e-24
"SGDWb5",0.226791167354712,1.14310763463908e-31
"SGDWb6",-0.0742047615259409,0.000152852591482805
"SGDWb7",0.0955661469378254,1.05640403283684e-06
"SGDWb8",-0.077256344971861,8.06174553608374e-05
"SGDWb9",-0.0589015959528809,0.00266464143484642
"SGDWb10",-0.0589015959528809,0.00266464143484642
"SGDWb11",0.179313866630959,3.20551162464396e-20
"SGDWb12",0.379479555143481,8.4830437735316e-90
"SGDWb13",-0.155392872838585,1.63079569020932e-15
"SGDWb14",-0.359684259901725,3.23442588384403e-80
"RAWfe1a",-0.219267614794062,1.15915407081637e-29
"RAWfe1s",-0.219267614794062,1.15915407081637e-29
"RAWfe2a",-0.228386898682577,4.19858751803333e-32
"RAWfe2s",-0.228386898682577,4.19858751803333e-32
"RAWfe3a",-0.316797949768151,1.12223987024905e-61
"RAWfe3s",-0.316797949768151,1.12223987024905e-61
"RAWfe4a",-0.226279656803993,1.57331107058085e-31
"RAWfe4s",-0.226279656803993,1.57331107058085e-31
"RAWfe5a",-0.221880842772721,2.37527179862226e-30
"RAWfe5s",-0.221880842772721,2.37527179862226e-30
"RAWfe6a",-0.219267614794062,1.15915407081637e-29
"RAWfe6s",-0.219267614794062,1.15915407081637e-29
"RAWfe7a",-0.250027815930388,2.45775750169438e-38
"RAWfe7s",-0.250027815930388,2.45775750169438e-38
"RAWfe8a",-0.530860661046204,6.21827037524189e-189
"RAWfe8s",-0.530860661046204,6.21827037524189e-189
"RAWfe9a",-0.335820035965028,1.54539963508827e-69
"RAWfe9s",-0.335820035965028,1.54539963508827e-69
"RAWorg1a",-0.196492489367853,4.92939195987268e-24
"RAWorg1s",-0.196492489367853,4.92939195987268e-24
"RAWorg2a",-0.27199207502065,2.59880962382911e-45
"RAWorg2s",-0.27199207502065,2.59880962382911e-45
"RAWorg3a",-0.398220815773367,1.67085487267362e-99
"RAWorg3s",-0.398220815773367,1.67085487267362e-99
"RAWorg4a",-0.194118971941994,1.74396735028905e-23
"RAWorg4s",-0.194118971941994,1.74396735028905e-23
"RAWorg5a",-0.205228077535,4.09280409233285e-26
"RAWorg5s",-0.205228077535,4.09280409233285e-26
"RAWorg6a",-0.299052267419458,7.65950013548573e-55
"RAWorg6s",-0.299052267419458,7.65950013548573e-55
"RAWorg7a",-0.491768725726173,2.36855895598982e-158
"RAWorg7s",-0.491768725726173,2.36855895598982e-158
"RAWorg8a",-0.195326805681286,9.18706530392983e-24
"RAWorg8s",-0.195326805681286,9.18706530392983e-24
"RAWorg9a",-0.193873455711442,1.98562504048777e-23
"RAWorg9s",-0.193873455711442,1.98562504048777e-23
"RAWorg10a",-0.262707351139577,2.78578081573307e-42
"RAWorg10s",-0.262707351139577,2.78578081573307e-42
"RAWorg11a",-0.255120652445997,6.79552864244218e-40
"RAWorg11s",-0.255120652445997,6.79552864244218e-40
"RAWorg12a",-0.363585109663321,4.72812995546599e-82
"RAWorg12s",-0.363585109663321,4.72812995546599e-82
"RAWorg13a",-0.340980811587893,9.07822452254261e-72
"RAWorg13s",-0.340980811587893,9.07822452254261e-72
"RAWorg14a",-0.193462092192369,2.46693434715227e-23
"RAWorg14s",-0.193462092192369,2.46693434715227e-23
"RAWorg15a",-0.207989973844179,8.59054173399832e-27
"RAWorg15s",-0.207989973844179,8.59054173399832e-27
"RAWorg16a",-0.191799989117036,5.90007995610563e-23
"RAWorg16s",-0.191799989117036,5.90007995610563e-23
"RAWorg17a",-0.203748608216763,9.35870557318685e-26
"RAWorg17s",-0.203748608216763,9.35870557318685e-26
"RAWorg18a",-0.185803072083196,1.28405092743064e-21
"RAWorg18s",-0.185803072083196,1.28405092743064e-21
"RAWorg19a",-0.195326805681286,9.18706530392983e-24
"RAWorg19s",-0.195326805681286,9.18706530392983e-24
"RAWorg20a",-0.178899353048208,3.92093591089454e-20
"RAWorg20s",-0.178899353048208,3.92093591089454e-20
"RAWorg21a",-0.195202157877033,9.81721347514573e-24
"RAWorg21s",-0.195202157877033,9.81721347514573e-24
"RAWorg22a",-0.193425914397917,2.51441686147915e-23
"RAWorg22s",-0.193425914397917,2.51441686147915e-23
"RAWorg23a",-0.188547716293756,3.17608560240026e-22
"RAWorg23s",-0.188547716293756,3.17608560240026e-22
"RAWorg24a",-0.157752740155633,6.00947058681511e-16
"RAWorg24s",-0.157752740155633,6.00947058681511e-16
"RAWclay1a",-0.2003655544465,6.05547377310635e-25
"RAWclay1s",-0.2003655544465,6.05547377310635e-25
"RAWclay2a",-0.19714638068543,3.47035597998993e-24
"RAWclay2s",-0.19714638068543,3.47035597998993e-24
"RAWclay3a",-0.172134759553752,9.80458669360667e-19
"RAWclay3s",-0.172134759553752,9.80458669360667e-19
"RAWclay4a",-0.194118971941994,1.74396735028905e-23
"RAWclay4s",-0.194118971941994,1.74396735028905e-23
"RAWclay5a",-0.147169283379316,4.69149434932559e-14
"RAWclay5s",-0.147169283379316,4.69149434932559e-14
"RAWclay6a",-0.146303386433548,6.61070245941171e-14
"RAWclay6s",-0.146303386433548,6.61070245941171e-14
"RAWclay7a",-0.174709671282743,2.92331152739591e-19
"RAWclay7s",-0.174709671282743,2.92331152739591e-19
"RAWclay8a",-0.17062337662187,1.9776221255061e-18
"RAWclay8s",-0.17062337662187,1.9776221255061e-18
"RAWclay9a",-0.153290949019635,3.91707061780827e-15
"RAWclay9s",-0.153290949019635,3.91707061780827e-15
"RAWclay10a",-0.171562154331027,1.27997454557913e-18
"RAWclay10s",-0.171562154331027,1.27997454557913e-18
"SMOfe1a",-0.219179560362249,1.22231710813465e-29
"SMOfe1s",-0.219179560362249,1.22231710813465e-29
"SMOfe2a",-0.228354908376268,4.28406776160412e-32
"SMOfe2s",-0.228354908376268,4.28406776160412e-32
"SMOfe3a",-0.316807028800138,1.11292887437399e-61
"SMOfe3s",-0.316807028800138,1.11292887437399e-61
"SMOfe4a",-0.226158302718661,1.69698081841976e-31
"SMOfe4s",-0.226158302718661,1.69698081841976e-31
"SMOfe5a",-0.22178745733336,2.51459229200458e-30
"SMOfe5s",-0.22178745733336,2.51459229200458e-30
"SMOfe6a",-0.219179560362249,1.22231710813465e-29
"SMOfe6s",-0.219179560362249,1.22231710813465e-29
"SMOfe7a",-0.250307171083027,2.02290855154558e-38
"SMOfe7s",-0.250307171083027,2.02290855154558e-38
"SMOfe8a",-0.530854884788875,6.28767110685584e-189
"SMOfe8s",-0.530854884788875,6.28767110685584e-189
"SMOfe9a",-0.335840251725117,1.51490132349993e-69
"SMOfe9s",-0.335840251725117,1.51490132349993e-69
"SMOorg1a",-0.19648756552532,4.94241308196358e-24
"SMOorg1s",-0.19648756552532,4.94241308196358e-24
"SMOorg2a",-0.271990071602831,2.60280311167774e-45
"SMOorg2s",-0.271990071602831,2.60280311167774e-45
"SMOorg3a",-0.398228053570902,1.65602691010593e-99
"SMOorg3s",-0.398228053570902,1.65602691010593e-99
"SMOorg4a",-0.194098350521855,1.76309192280624e-23
"SMOorg4s",-0.194098350521855,1.76309192280624e-23
"SMOorg5a",-0.205240705209864,4.06390140461454e-26
"SMOorg5s",-0.205240705209864,4.06390140461454e-26
"SMOorg6a",-0.299045668961854,7.70289680326958e-55
"SMOorg6s",-0.299045668961854,7.70289680326958e-55
"SMOorg7a",-0.491733492832266,2.51355815475777e-158
"SMOorg7s",-0.491733492832266,2.51355815475777e-158
"SMOorg8a",-0.195331300810687,9.16510453624044e-24
"SMOorg8s",-0.195331300810687,9.16510453624044e-24
"SMOorg9a",-0.193882317094215,1.97635247071596e-23
"SMOorg9s",-0.193882317094215,1.97635247071596e-23
"SMOorg10a",-0.262711087660618,2.77812401147668e-42
"SMOorg10s",-0.262711087660618,2.77812401147668e-42
"SMOorg11a",-0.255122877284794,6.78476414193238e-40
"SMOorg11s",-0.255122877284794,6.78476414193238e-40
"SMOorg12a",-0.363617566841674,4.56365294372927e-82
"SMOorg12s",-0.363617566841674,4.56365294372927e-82
"SMOorg13a",-0.341022726730146,8.70374138303205e-72
"SMOorg13s",-0.341022726730146,8.70374138303205e-72
"SMOorg14a",-0.193347780486036,2.62007365608445e-23
"SMOorg14s",-0.193347780486036,2.62007365608445e-23
"SMOorg15a",-0.207966706230367,8.70508412085101e-27
"SMOorg15s",-0.207966706230367,8.70508412085101e-27
"SMOorg16a",-0.191824359142161,5.82546073624972e-23
"SMOorg16s",-0.191824359142161,5.82546073624972e-23
"SMOorg17a",-0.203752686083437,9.33747718314088e-26
"SMOorg17s",-0.203752686083437,9.33747718314088e-26
"SMOorg18a",-0.185751644128748,1.31783457173601e-21
"SMOorg18s",-0.185751644128748,1.31783457173601e-21
"SMOorg19a",-0.195331300810687,9.16510453624044e-24
"SMOorg19s",-0.195331300810687,9.16510453624044e-24
"SMOorg20a",-0.178887949254564,3.94270046074366e-20
"SMOorg20s",-0.178887949254564,3.94270046074366e-20
"SMOorg21a",-0.195199318138715,9.83205711001706e-24
"SMOorg21s",-0.195199318138715,9.83205711001706e-24
"SMOorg22a",-0.193414073225202,2.53015372153243e-23
"SMOorg22s",-0.193414073225202,2.53015372153243e-23
"SMOorg23a",-0.188448279228511,3.34222516863623e-22
"SMOorg23s",-0.188448279228511,3.34222516863623e-22
"SMOorg24a",-0.157818081994862,5.84435249571279e-16
"SMOorg24s",-0.157818081994862,5.84435249571279e-16
"SMOclay1a",-0.200388400870089,5.98026319457009e-25
"SMOclay1s",-0.200388400870089,5.98026319457009e-25
"SMOclay2a",-0.197376658682173,3.06597891554581e-24
"SMOclay2s",-0.197376658682173,3.06597891554581e-24
"SMOclay3a",-0.172218544288605,9.4287856773826e-19
"SMOclay3s",-0.172218544288605,9.4287856773826e-19
"SMOclay4a",-0.194098350521855,1.76309192280624e-23
"SMOclay4s",-0.194098350521855,1.76309192280624e-23
"SMOclay5a",-0.14774084368248,3.73692504049423e-14
"SMOclay5s",-0.14774084368248,3.73692504049423e-14
"SMOclay6a",-0.146948160004605,5.12188066482379e-14
"SMOclay6s",-0.146948160004605,5.12188066482379e-14
"SMOclay7a",-0.174484835179265,3.25153385820105e-19
"SMOclay7s",-0.174484835179265,3.25153385820105e-19
"SMOclay8a",-0.170560891303416,2.03554752514537e-18
"SMOclay8s",-0.170560891303416,2.03554752514537e-18
"SMOclay9a",-0.153315882280801,3.87684168273894e-15
"SMOclay9s",-0.153315882280801,3.87684168273894e-15
"SMOclay10a",-0.171536711674061,1.2951980304737e-18
"SMOclay10s",-0.171536711674061,1.2951980304737e-18
"SGDfe1a",-0.224402715192349,5.04580550165347e-31
"SGDfe1s",-0.22441552357491,5.00601715066991e-31
"SGDfe2a",-0.26615161005535,2.16224405896039e-43
"SGDfe2s",-0.266158781112506,2.15068280871617e-43
"SGDfe3a",-0.0744763700870643,0.000144529024264228
"SGDfe3s",-0.07446843299444,0.000144766087437763
"SGDfe4a",-0.134252457753313,6.32722610266485e-12
